"mun";"lei";"desc";"link";"UF";"lei_ord";"ata";"decreto";"medida";"oficio";"portaria";"resolucao";"data";"codmun";"id_munic_7";"id_estado"
"Parobé";"Decreto Nº 59 de 10 de junho de 2020";"Abre Crédito Extraordinário ao Orçamento do exercício de 2020.";"http://leismunicipa.is/ifypg";"RS";0;0;1;0;0;0;0;2020-06-10;431405;4314050;43
"Niterói";"Lei Ordinária Nº 3512 de 10 de junho de 2020";"Cria rede de proteção aos colaboradores e beneficiários de projetos e contratos do Município de Niterói.";"http://leismunicipa.is/piyfg";"RJ";1;0;0;0;0;0;0;2020-06-10;330330;3303302;33
"Dona Francisca";"Lei Ordinária Nº 1755 de 10 de junho de 2020";"""Autoriza a renovação temporária do Contrato Administrativo nº 140/2019 cujo objeto é o Contrato Emergencial para o cargo de Operador de Máquinas, com carga horária de 40 (quarenta...";"http://leismunicipa.is/ypgbh";"RS";1;0;0;0;0;0;0;2020-06-10;430670;4306700;43
"São Bento do Sul";"Lei Ordinária Nº 4253 de 10 de junho de 2020";"AUTORIZA A ABERTURA DE CRÉDITO ADICIONAL ESPECIAL NO ORÇAMENTO VIGENTE DO FUNDO MUNICIPAL DE SAÚDE.";"http://leismunicipa.is/afyhp";"SC";1;0;0;0;0;0;0;2020-06-10;421580;4215802;42
"Porto Belo";"Decreto Nº 2453 de 10 de junho de 2020";"Disciplina o retorno das atividades das empresas de transporte coletivo urbano no Município de Porto Belo, em virtude do enfrentamento da emergência de Saúde Pública de importância...";"http://leismunicipa.is/ygpch";"SC";0;0;1;0;0;0;0;2020-06-10;421350;4213500;42
"Ponta Grossa";"Decreto Nº 17388 de 10 de junho de 2020";"Transfere as atividades de comércio varejista programadas para o dia 11 de junho de 2020 (quinta-feira) para o dia 13 de junho de 2020 em decorrência do Feriado de Corpus Christi.";"http://leismunicipa.is/ifyep";"PR";0;0;1;0;0;0;0;2020-06-10;411990;4119905;41
"Tangará da Serra";"Decreto Mesa Nº 1000 de 10 de junho de 2020";"DECRETA PONTO FACULTATIVO NA CÂMARA MUNICIPAL DE TANGARÁ DA SERRA EM VIRTUDE DAS CELEBRAÇÕES ALUSIVAS A CORPUS CHRISTI.";"http://leismunicipa.is/hfgyp";"MT";0;0;1;0;0;0;0;2020-06-10;510795;5107958;51
"Araçatuba";"Decreto Nº 21403 de 10 de junho de 2020";"<U+0093>Altera o horário de funcionamento, com atendimento  presencial, dos estabelecimentos comerciais, durante o período de quarentena, no Município de Araçatuba, previsto no Decreto Mu...";"http://leismunicipa.is/ypdbi";"SP";0;0;1;0;0;0;0;2020-06-10;350280;3502804;35
"Não-Me-Toque";"Decreto Nº 178 de 10 de junho de 2020";"Regulamenta a distribuição de kits de gênero de alimentação durante o período de suspensão das aulas presenciais, em razão da situação de calamidade pública decorrente do COVID -19...";"http://leismunicipa.is/ejbyp";"RS";0;0;1;0;0;0;0;2020-06-10;431265;4312658;43
"Ibiraiaras";"Decreto Nº 3062 de 10 de junho de 2020";"Abre crédito especial no orçamento do Município.";"http://leismunicipa.is/yjhbp";"RS";0;0;1;0;0;0;0;2020-06-10;430990;4309902;43
